Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;BAU006__Gebaeude/Gebaeudeteile__Anzahl;FLC002__Nutzflaeche__1000_qm;FLC001__Wohnflaeche__1000_qm;WOHN01__Wohnungen__Anzahl
31141;Statistik des Bauabgangs;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;WOHNHEIM;  Wohnheime;46;8;46;1169
31141;Statistik des Bauabgangs;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;WOHNGEBMETW;  Wohngebäude mit Eigentumswohnungen;-;-;-;-
31141;Statistik des Bauabgangs;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBANSTALT01;  Anstaltsgebäude;132;218;1;12
31141;Statistik des Bauabgangs;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBBUERO01;  Büro- und Verwaltungsgebäude;841;803;36;464
31141;Statistik des Bauabgangs;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBBETRLW01;  Landwirtschaftliche Betriebsgebäude;2728;850;74;639
31141;Statistik des Bauabgangs;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBBETRNLW01;  Nichtlandwirtschaftliche Betriebsgebäude;4046;3106;118;1342
31141;Statistik des Bauabgangs;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBFABRIK01;  Fabrik- und Werkstattgebäude;1087;1196;29;296
31141;Statistik des Bauabgangs;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBHANDEL01;  Handelsgebäude;579;398;33;398
31141;Statistik des Bauabgangs;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBLAGER01;  Warenlagergebäude;1191;922;18;212
31141;Statistik des Bauabgangs;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;HOTELSGAST;  Hotels und Gaststätten;541;307;32;376
